Partito;1948;1948_percent;1953;1953_percent;1958;1958_percent;1963;1963_percent;1968;1968_percent;1972;1972_percent;1976;1976_percent;1979;1987_percent;1983;1983_percent;1987;1987_percent;1992;1992_percent;1994;1994_percent;1996;1996_percent;2001;2001_percent;2006;2006_percent;2008;2008_percent;2013;2013_percent;2018;2018_percent
MOV.REP.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6616;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.CRIST.VERITAS;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6404;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
RIN.DEMOCRATICO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5600;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
CENTRO DEMOCRATICO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4911;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;167328;0,33%;0;0,00%
LIBERAL DEM.EUROPEI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4633;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
INSIEME PER CAMBIARE;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4588;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
P.POP.PROGRESSISTA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4554;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MEDITERRANEO;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3867;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.LIBERALDEM.SOC.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3429;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.POP.CRIST.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1921;0,00%;1607;0,00%;0;0,00%;0;0,00%;3390;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ALL.PROGRAMMA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3388;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
MOV.EUR.LIB.CRIST.;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2745;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
ALL.PER I CASTELLI;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2737;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
AUTONOMIA SOCIALISTA;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2720;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
